team1,team2,toss_winner,toss_loser,toss_winner_decision,toss_loser_decision,match_winner,venue,weather,id
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Bat,Field,Delhi Daredevils,Feroz Shah Kotla,Dry,155
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Dry,156
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Dry,157
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Field,Kolkata Knight Riders,Eden Gardens,Dry,158
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Bat,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Dry,159
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,160
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Bat,Field,Kings XI Punjab,Feroz Shah Kotla,Dry,161
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Field,Bat,Mumbai Indians,Sawai Mansingh Stadium,Dry,162
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat,Field,Mumbai Indians,Brabourne Stadium,Dry,163
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Field,Chennai Super Kings,MA Chidambaram Stadium,Dry,164
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,Sawai Mansingh Stadium,Dry,165
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Field,Delhi Daredevils,MA Chidambaram Stadium,Dry,166
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,Field,Bat,Mumbai Indians,M Chinnaswamy Stadium,Sunny,167
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Eden Gardens,Sunny,168
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Field,Bat,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Humid,169
